Matti Matemaatikko;Differentiaaliyhtlöt;Kirja kustantomo Oy;100;Matematiikka;4;11.50
Matti Meikäläinen;C-ohjelmoinnin alkeet;Kirjat Oy;80;Ohjelmointi;3;20.00
Kalle Kirjamato;Java-ohjelmointi;Kirjat Oy;70;Ohjelmointi;5;15.50
Matti Meikäläinen;C#-ohjelmoinnin alkeet;Kirjat Oy;70;Ohjelmointi;4;14.50
Matti Matemaatikko;Matematiikan alkeet;Basic Books;0;Matematiikka;4;18.5
Matti Matemaatikko;Matematiikan alkeet;Basic Books;0;Matematiikka;4;18.5
Matti Matemaatikko;Matematiikan alkeet;Basic Books;0;Matematiikka;4;18.5
Matti Matemaatikko;Matematiikan alkeet;Basic Books;0;Matematiikka;4;18.5
Matti Matemaatikko;Matematiikan alkeet;Basic Books;0;Matematiikka;4;18.5
Matti Matemaatikko;Matematiikan alkeet;Basic Books;0;Matematiikka;4;18.5
Matti Matemaatikko;Matematiikan alkeet;Basic Books;0;Matematiikka;4;18.5
Sepe Psykoloogi;Unien Tulkinta;Kirjat Oy;45;Psykologia;3;3.5
Matti Meikäläinen;Fraktaalit;Kirjat Oy;78;Matematiikka;4;7.8
Matti Matemaatikko;Fraktaalit ja Kaaos;Kirjat Oy;120;Matematiikka;4;20.75
Matti Matemaatikko;Korkeampi Algebra;Kirjat Oy;87;Matematiikka;5;33.75
Matti Matemaatikko;OpenGL perusteet;Kirjat Oy;135;Ohjelmointi;4;27.5
Matti Matemaatikko;WebGL perusteet;Kirjat Oy;125;Ohjelmointi;4;27.5
Meikä Muusikko;Pianonsoiton alkeet;Kirjat Oy;102;Musiikki;3;4.5
Aku Nälkäinen;Sieniruoat;Kirjat Oy;35;Ruokakirjat;3;2.5
Hiiri Hiirulainen;Suomen historia;Kirjat Oy;168;Historia;3;6.8
Uni Unikeko;Kuin unessa;Kirjat Oy;30;Runokirjat;4;3.2
Fysi Fyysikko;Kosmos;Kirjat Oy;169;Fysiikka;4;7.99
Kemi Kemisti;Kemian alkeet;Kirjat Oy;78;Kemia;5;7.8
Bio Biometri;Biologia 1;Kirjat Oy;135;Biologia;4;7.85
Geo Geometri;Geologia 1;Kirjat Oy;135;Geologia;4;7.99
Asko Astro;Astrologia 1;Kirjat Oy;55;Astrologia;3;3.5
Filo Filosofi;Filosofian perusteet 1;Kirjat Oy;125;Filosofia;3;4.5
Filo Filosofi;Filosofian perusteet 1;Kirjat Oy;125;Filosofia;3;4.5
Simo Sieni;Kaikki Sienet;Kirjat Oy;20;Sienikirjat;3;2.5
Simo Sieni;Kaikki Sienet;Kirjat Oy;20;Sienikirjat;3;4.5
Simo Sieni;Kaikki Sienet;Kirjat Oy;20;Sienikirjat;3;4.5
Kalle Kielioppinen;Kielioppi 1;Kirjat Oy;45;Suomen kieli;3;3.5
Erkki Esimerkki;Englantilainen filogia 1;Kirjat Oy;101;Englantilainen filogia;3;4.5
Olli Ohjelmoija;Java korkelentoisille;Kirjat Oy;100;Ohjelmointi;3;20.0
